work_order,description,status,type,asset_num,asset_location,job_plan_num,curr_stat_changeby,curr_stat_changedate,wo_pm_num,target_date,actual_finish,wo_siteid,wo_owner,group,grace_date,wo_status_wonum,wo_status_prev_status,wo_status_prev_changedate,wo_status_prev_changeby,report_date,report_month
1060438,"EID 12814 1 YR PM ""A""",CLOSE,PM,12814,AR0721,JP0342,MAXADMIN,2024-09-09 03:15:22.000,12814-1YA,2024-08-01,2024-07-23 09:45:00.000,FWN,SYSAVVO1,FWNLC1,2024-08-31 00:00:00,1060438,COMP,2024-07-23 13:56:26.000,SYSAVVO1,2024-05-03 02:00:09.000,2024-08
1060441,"EID 15190 1 YR PM SS ""B""",CLOSE,PM,15190,RM0847,JP1624,MAXADMIN,2024-09-09 03:15:23.517,15190-SSB,2024-08-01,2024-07-24 09:00:00.000,FWN,SANTIDAC,FWNPS,2024-08-31 00:00:00,1060441,COMP,2024-07-24 09:32:40.013,SANTIDAC,2024-05-03 02:00:39.323,2024-08
1060444,EID 15353 1 YR PM SS,CLOSE,PM,15353,RM2131,JP0524,MAXADMIN,2024-09-28 03:16:16.847,15353-SS,2024-08-01,2024-07-18 08:00:00.000,FWN,JONESGU1,FWNCSM,2024-08-31 00:00:00,1060444,COMP,2024-08-05 12:59:52.247,JONESGU1,2024-05-03 02:00:44.283,2024-08
1060454,EID 15354 1 YR PM SS,CLOSE,PM,15354,RM2131,JP0524,MAXADMIN,2024-09-28 03:16:21.633,15354-SS,2024-08-01,2024-07-18 08:30:00.000,FWN,JONESGU1,FWNCSM,2024-08-31 00:00:00,1060454,COMP,2024-08-05 13:03:17.347,JONESGU1,2024-05-03 02:00:58.387,2024-08
1060464,EID 15355 1 YR PM SS,CLOSE,PM,15355,RM2131,JP0524,MAXADMIN,2024-09-28 03:16:27.903,15355-SS,2024-08-01,2024-07-18 09:00:00.000,FWN,JONESGU1,FWNCSM,2024-08-31 00:00:00,1060464,COMP,2024-08-05 13:10:41.167,JONESGU1,2024-05-03 02:01:13.287,2024-08
1060474,EID 15356 1 YR PM SS,CLOSE,PM,15356,RM3004,JP0524,MAXADMIN,2024-09-28 03:16:34.560,15356-SS,2024-08-01,2024-07-15 13:30:00.000,FWN,JONESGU1,FWNCSM,2024-08-31 00:00:00,1060474,COMP,2024-07-30 06:54:02.877,JONESGU1,2024-05-03 02:01:28.583,2024-08
1060484,EID 15357 1 YR PM SS,CLOSE,PM,15357,RM2140,JP0524,MAXADMIN,2024-09-28 03:16:40.037,15357-SS,2024-08-01,2024-07-22 14:30:00.000,FWN,JONESGU1,FWNCSM,2024-08-31 00:00:00,1060484,COMP,2024-08-06 10:18:10.400,JONESGU1,2024-05-03 02:01:50.327,2024-08
1060494,EID 15358 1 YR PM SS,CLOSE,PM,15358,RM2131,JP0524,MAXADMIN,2024-09-28 03:16:47.797,15358-SS,2024-08-01,2024-07-18 09:30:00.000,FWN,JONESGU1,FWNCSM,2024-08-31 00:00:00,1060494,COMP,2024-08-05 13:12:22.233,JONESGU1,2024-05-03 02:02:07.930,2024-08
1060504,EID 15400 1 YR PM SS,CLOSE,PM,15400,RM1180,JP0525,MAXADMIN,2024-09-28 03:16:57.333,15400-SS,2024-08-01,2024-07-15 11:00:00.000,FWN,JONESGU1,FWNCSM,2024-08-31 00:00:00,1060504,COMP,2024-07-30 06:41:56.257,JONESGU1,2024-05-03 02:02:25.347,2024-08
1060512,EID 15402 1 YR PM SS,CLOSE,PM,15402,RM2131,JP0525,MAXADMIN,2024-09-28 03:17:01.987,15402-SS,2024-08-01,2024-07-23 07:30:00.000,FWN,JONESGU1,FWNCSM,2024-08-31 00:00:00,1060512,COMP,2024-08-06 10:21:46.400,JONESGU1,2024-05-03 02:02:40.577,2024-08
1060520,EID 15403 1 YR PM SS,CLOSE,PM,15403,RM2131,JP0525,MAXADMIN,2024-09-28 03:17:06.100,15403-SS,2024-08-01,2024-07-23 08:00:00.000,FWN,JONESGU1,FWNCSM,2024-08-31 00:00:00,1060520,COMP,2024-08-06 10:23:56.653,JONESGU1,2024-05-03 02:02:51.557,2024-08
1060528,EID 15404 1 YR PM SS,CLOSE,PM,15404,RM2131,JP0525,MAXADMIN,2024-09-28 03:17:11.060,15404-SS,2024-08-01,2024-07-17 12:30:00.000,FWN,JONESGU1,FWNCSM,2024-08-31 00:00:00,1060528,COMP,2024-08-05 11:22:40.847,JONESGU1,2024-05-03 02:03:04.947,2024-08
1060536,EID 15405 1 YR PM SS,CLOSE,PM,15405,RM2131,JP0525,MAXADMIN,2024-09-28 03:17:14.687,15405-SS,2024-08-01,2024-07-17 11:00:00.000,FWN,JONESGU1,FWNCSM,2024-08-31 00:00:00,1060536,COMP,2024-08-05 11:16:24.603,JONESGU1,2024-05-03 02:03:21.133,2024-08
1060544,EID 15406 1 YR PM SS,CLOSE,PM,15406,RM2131A,JP0525,MAXADMIN,2024-09-28 03:17:18.603,15406-SS,2024-08-01,2024-07-17 14:00:00.000,FWN,JONESGU1,FWNCSM,2024-08-31 00:00:00,1060544,COMP,2024-08-05 12:48:42.537,JONESGU1,2024-05-03 02:03:32.577,2024-08
1060552,EID 15407 1 YR PM SS,CLOSE,PM,15407,RM2131A,JP0525,MAXADMIN,2024-09-28 03:17:23.440,15407-SS,2024-08-01,2024-07-18 10:00:00.000,FWN,JONESGU1,FWNCSM,2024-08-31 00:00:00,1060552,COMP,2024-08-05 13:13:38.467,JONESGU1,2024-05-03 02:03:44.883,2024-08
